avaliacao,empresa,tamanho,ano_fundacao,tipo_propriedade,industria,setor,receita,senioridade,cargo,salario_medio,cidade_vaga,estado_vaga,pais_vaga,cidade_sede,pais_sede,escala_tamanho,remoto,latitude,longitude,nome_estado_vaga
3.3,Tempus Labs,501 to 1000 employees,2015.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,,Data scientist,105.0,Redwood City,CA,United States of America,Chicago,United States of America,Médio,False,37.464661,-122.230406,California
4.0,Autodesk,5001 to 10000 employees,1982.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),Principal,Data scientist,105.0,San Francisco,CA,United States of America,San Rafael,United States of America,Grande,False,37.775,-122.4183,California
3.7,Caterpillar,10000+ employees,1925.0,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),,Data analyst,105.0,Peoria,IL,United States of America,Deerfield,United States of America,Corporação,False,40.6854,-89.5953,Illinois
4.9,New England Biolabs,201 to 500 employees,1974.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,,outro,105.0,Ipswich,MA,United States of America,Ipswich,United States of America,Médio,False,42.680877,-70.849353,Massachusetts
3.4,Allied Solutions,1001 to 5000 employees,2001.0,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),,Data analyst,105.0,Carmel,IN,United States of America,Carmel,United States of America,Grande,False,39.971232,-86.124545,Indiana
3.1,Healthfirst,1001 to 5000 employees,1993.0,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,,Data engineer,105.0,New York,NY,United States of America,New York,United States of America,Grande,False,40.74838,-73.996705,New York
3.5,The Knot Worldwide,1001 to 5000 employees,2019.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,Data scientist,105.0,Washington,DC,United States of America,Chevy Chase,United States of America,Grande,False,38.912217,-77.017691,District of Columbia
2.9,IFG Companies,201 to 500 employees,1985.0,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,,Data scientist,105.0,New York,NY,United States of America,Hartford,United States of America,Médio,False,40.74838,-73.996705,New York
3.3,Amyris,201 to 500 employees,2003.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),,Data scientist,105.0,Emeryville,CA,United States of America,Emeryville,United States of America,Médio,False,37.836466,-122.280363,California
4.0,AstraZeneca,10000+ employees,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,Data scientist,105.0,Gaithersburg,MD,United States of America,Cambridge,United Kingdom,Corporação,False,39.14187,-77.188993,Maryland
